business_name,category,subcategory,city,address,phone,whatsapp_url,distance_km,google_rating,google_reviews,has_website,play,priority_score,outreach_template
AVENTURA Centro Deportivo,Gimnasio/Fitness,General,Lambaré,"Porvenir, Lambaré 110705, Paraguay",0985 500023,https://wa.me/0985500023,3.09,4.6,272,NO,B2B_GYM_CORP,12,GYM_BOCA_GUARD
Gym Victor Niella,Gimnasio/Fitness,Gimnasio,Lambaré,"casi, Av. Luis María Argaña & Porvenir, M97G+X6F, Lambaré 110705, Paraguay",0981 400632,https://wa.me/0981400632,2.76,4.6,251,NO,B2B_GYM_CORP,12,GYM_BOCA_GUARD
Spa Tiger,Spa/Wellness,Spa,Asunción,"Europa 2186, Asunción 001236, Paraguay",0994 201066,https://wa.me/0994201066,1.33,4.2,286,NO,ATM_BRUXISMO,12,ATM_BRUXISMO
Nutrifit Spa y Belleza,Spa/Wellness,Spa,Fernando de la Mora,"Don Bosco 2221, Fernando de la Mora 110310, Paraguay",0981 953000,https://wa.me/0981953000,7.94,4.6,233,YES,"ATM_BRUXISMO,ESTETICA_DENTAL",12,ATM_BRUXISMO
Lourdes Elli Belleza y Spa,Spa/Wellness,Spa,Asunción,"MCJF+JPQ, Av. La Victoria, Asunción 001427, Paraguay",(021) 503 329,https://wa.me/59521503329,3.49,4.6,133,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",12,ATM_BRUXISMO
Gimnasio Top Gym,Gimnasio/Fitness,Gimnasio,Asunción,"Iturbe 691, Asunción 001101, Paraguay",(021) 490 074,https://wa.me/59521490074,3.91,4.5,203,NO,B2B_GYM_CORP,12,GYM_BOCA_GUARD
Forever Fit Gym,Spa/Wellness,Gimnasio,San Lorenzo,"MF5R+PGW, Gaspar R De Francia, San Lorenzo 111423, Paraguay",0986 258703,https://wa.me/0986258703,10.61,4.7,239,YES,"ATM_BRUXISMO,B2B_GYM_CORP",12,ATM_BRUXISMO
Global Fitness Paraguay,Gimnasio/Fitness,General,Asunción,"Av. República Argentina 1415 Esq, Asunción 001420, Paraguay",0981 205329,https://wa.me/0981205329,2.75,4.8,200,YES,B2B_GYM_CORP,12,GYM_BOCA_GUARD
Fisiolution Paraguay,Salon de Belleza,General,Asunción,"Simón Bolívar N° 851, entre Parapiti y, Asunción 001103, Paraguay",0981 095546,https://wa.me/0981095546,3.22,4.4,107,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",12,ATM_BRUXISMO
Venus Coiffure I,Uñas/Nails,General,Asunción,"Gaudioso Núñez entre José Asunción Flores, Entrada por estacionamiento a una cuadra de, Teodoro S. Mongelós y, Asunción 001230, Paraguay",0994 270222,https://wa.me/0994270222,1.25,4.2,253,NO,ATM_BRUXISMO,12,ATM_BRUXISMO
Beauty & Spa Body Line,Spa/Wellness,Spa,Asunción,"Cedro 1168 casi Pilar Asunción, Cedro 1168, Asunción 1911, Paraguay",(021) 551 797,https://wa.me/59521551797,1.97,4.4,287,YES,ATM_BRUXISMO,12,ATM_BRUXISMO
Calma tu alma estética integral central,Spa/Wellness,General,Asunción,"Av. España 2031 casi, Asunción 2060, Paraguay",0983 444427,https://wa.me/0983444427,3.02,4.6,159,YES,"ATM_BRUXISMO,ESTETICA_DENTAL",12,ATM_BRUXISMO
BL DermoEstética,Salon de Belleza,General,Asunción,"Avenue Dr. Luis Maria Argaña 246 c, Asunción 001303, Paraguay",0961 845409,https://wa.me/0961845409,2.5,4.5,157,YES,"ATM_BRUXISMO,ESTETICA_DENTAL",12,ATM_BRUXISMO
KS Nails & Eyebrowns,Uñas/Nails,Salon Uñas,Asunción,"Nazareth 306 casi, Asunción 001422, Paraguay",0993 351676,https://wa.me/0993351676,1.83,5.0,211,YES,ATM_BRUXISMO,12,ATM_BRUXISMO
Pausa - Estetica y Cuidado,Estetica/Facial,General,Asunción,"Del Carmen casi, Asunción 001239, Paraguay",0986 545054,https://wa.me/0986545054,1.62,5.0,52,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",12,ATM_BRUXISMO
Golden Gym,Gimnasio/Fitness,Gimnasio,Asunción,"Teniente Héctor Vera, Asunción 001411, Paraguay",0981 660116,https://wa.me/0981660116,4.59,4.9,211,YES,B2B_GYM_CORP,12,GYM_BOCA_GUARD
DepiDermo - Especialistas en Depilación,Salon de Belleza,General,Asunción,"Av. Juscelino Kubitschek 780, Asunción 001228, Paraguay",0981 137204,https://wa.me/0981137204,1.49,4.9,277,YES,ESTETICA_DENTAL,12,ESTETICA_SONRISA
Grafic Sport,Gimnasio/Fitness,General,Asunción,"Av. Eusebio Ayala 677, Asunción 001226, Paraguay",0985 587371,https://wa.me/0985587371,1.47,4.3,127,YES,B2B_GYM_CORP,12,GYM_BOCA_GUARD
Dra.So.Odontología,Salon de Belleza,General,San Lorenzo,"Av. Defensores del Chaco 307, San Lorenzo 2160, Paraguay",0991 966564,https://wa.me/0991966564,10.61,5.0,34,YES,"DIRECT_DENTAL,ATM_BRUXISMO,ESTETICA_DENTAL",12,DENTAL_COLLEAGUE
Complejo Cocodrilo (Mburucuya Fitness),Gimnasio/Fitness,General,Asunción,"PCJP+J48, Av. Santísima Trinidad, Asunción 001521, Paraguay",0986 106062,https://wa.me/0986106062,6.81,4.5,269,NO,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Urban Spa Acquadolce,Spa/Wellness,Spa,Asunción,"Tacuary 1334 e/ 1ra. y 2da. Proyectada, Tacuary 1334, Asunción 001103, Paraguay",0961 281515,https://wa.me/0961281515,3.28,4.7,309,NO,ATM_BRUXISMO,11,ATM_BRUXISMO
Carolina Zarate Spa,Spa/Wellness,Spa,Asunción,"Mariscal Antonio Jose Sucre, Asunción 001411, Paraguay",0981 800788,https://wa.me/0981800788,4.38,4.8,205,YES,ATM_BRUXISMO,11,ATM_BRUXISMO
Galilea Estetica,Estetica/Facial,General,Asunción,"Sta. Rosa 944 c, Asunción 1411, Paraguay",0994 681789,https://wa.me/0994681789,4.02,5.0,395,NO,ESTETICA_DENTAL,11,ESTETICA_SONRISA
RENUVA - Clínica estética y laser,Depilacion,Depilacion Laser,Asunción,"Eusebio Lillo Robles 1498 esq, Asunción 001411, Paraguay",0981 521527,https://wa.me/0981521527,4.48,4.8,248,NO,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Hidrobaby Luque,Spa/Wellness,General,Luque,"Dora Gomez Bueno de Acuña, Luque 0000, Paraguay",0993 444300,https://wa.me/0993444300,13.74,4.9,196,NO,"ATM_BRUXISMO,MOMS",11,MOMS_HIDROBABY
Oh! Baby Spa,Spa/Wellness,Spa,Luque,"PGMH+987, Hernandarias, Luque 110922, Paraguay",0982 357778,https://wa.me/0982357778,14.87,5.0,161,NO,"ATM_BRUXISMO,MOMS",11,MOMS_HIDROBABY
Sport Club Guaraní,Gimnasio/Fitness,General,Lambaré,"Bernardino Caballero 460, Lambaré 110725, Paraguay",(021) 909 551,https://wa.me/59521909551,4.21,4.3,189,NO,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Lirdsteam Gym,Gimnasio/Fitness,Gimnasio,Lambaré,"Manuel Dominguez, Lambaré 110718, Paraguay",0981 461813,https://wa.me/0981461813,3.32,4.9,108,NO,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Cacique Fit Club,Gimnasio/Fitness,General,Lambaré,"Campo Via, Lambaré 110725, Paraguay",0986 457613,https://wa.me/0986457613,4.15,4.7,157,NO,B2B_GYM_CORP,11,GYM_BOCA_GUARD
MegaSport Fitness Center,Gimnasio/Fitness,Gimnasio,Villa Elisa,"Pirayu 479, Villa Elisa 111505, Paraguay",0981 191146,https://wa.me/0981191146,5.42,4.7,227,NO,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Body Wellness Gym,Spa/Wellness,Gimnasio,Luque,"PGP4+585, Comandante Peralta, Luque 110918, Paraguay",(021) 653 355,https://wa.me/59521653355,12.88,4.5,114,NO,"ATM_BRUXISMO,B2B_GYM_CORP",11,ATM_BRUXISMO
Jazmin Cosmeticos,Estetica/Facial,Perfumeria,Lambaré,"Av. Cacique Lambare 960, Lambaré 110723, Paraguay",0981 961766,https://wa.me/0981961766,3.51,4.6,211,NO,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Nutrifit Spa y Belleza Los Laureles,Spa/Wellness,Spa,Asunción,"Teresa Lamas Carísimo 5842 casi, Asunción 001420, Paraguay",0981 100018,https://wa.me/0981100018,3.09,4.5,77,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",11,ATM_BRUXISMO
Estelita Estética en Uñas,Uñas/Nails,Salon Uñas,Fernando de la Mora,"y, Soldado Ovelar & Yatayty Corá, MC6H+XWJ, Fernando de la Mora 110327, Paraguay",0991 204913,https://wa.me/0991204913,4.78,4.7,286,NO,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Qanttum Sport Club,Gimnasio/Fitness,General,Fernando de la Mora,"Mariscal Estigrarribia y, Teniente Ettiene, Fernando de la Mora 110309, Paraguay",0981 200004,https://wa.me/0981200004,6.5,4.7,280,YES,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Bonita Depilaciones,Depilacion,General,Asunción,"Isaac Kostianovsky 5874, Asunción 1001, Paraguay",0985 881864,https://wa.me/0985881864,3.3,4.9,231,NO,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Sempre Bela Fisio Estética,Spa/Wellness,General,Asunción,"Asunción 001522, Paraguay",0986 663434,https://wa.me/0986663434,7.97,4.9,116,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",11,ATM_BRUXISMO
Claudia Nuñez Beauty Salon,Salon de Belleza,General,Asunción,"Bartolome De Las Casas, Asunción 001231, Paraguay",0992 917141,https://wa.me/0992917141,0.92,4.4,114,NO,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Amaran Estética,Salon de Belleza,General,Asunción,"Cuartel de la Rivera 4926, Asunción 001414, Paraguay",0992 330183,https://wa.me/0992330183,2.58,4.8,66,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",11,ATM_BRUXISMO
BONICA - Women's Club,Salon de Belleza,General,Asunción,"Teniente Héctor Vera esq, Asunción 1816, Paraguay",0982 669939,https://wa.me/0982669939,4.56,4.8,66,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",11,ATM_BRUXISMO
Mudraa Spa Py,Spa/Wellness,Spa,Asunción,"Carmen Soler 3640 c, Asunción 0000, Paraguay",0971 186989,https://wa.me/0971186989,1.95,4.9,116,YES,ATM_BRUXISMO,11,ATM_BRUXISMO
Barbas Barbershop,Barberia,General,Asunción,"Chóferes Del Chaco 9001 A Asunción, Asunción 9001, Paraguay",0972 400517,https://wa.me/0972400517,2.19,4.7,347,YES,ATM_BRUXISMO,11,ATM_BRUXISMO
Figari Fitness Center,Gimnasio/Fitness,Gimnasio,Lambaré,"Cacique Lambaré c, Héroes del 70, Lambaré 110720, Paraguay",0971 625662,https://wa.me/0971625662,3.25,4.6,116,YES,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Gimnasio Forma Fisica,Gimnasio/Fitness,Gimnasio,Asunción,"y, Senador Huey Pierce Long &, Olegario Víctor Andrade, Asunción 001411, Paraguay",(021) 600 874,https://wa.me/59521600874,3.95,4.6,169,YES,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Gimnasio Nueva Onda El Templo,Gimnasio/Fitness,Gimnasio,Asunción,"Brasil &, P93C+V6Q, República de Colombia, Asunción 001221, Paraguay",(021) 450 306,https://wa.me/59521450306,2.85,4.8,136,YES,B2B_GYM_CORP,11,GYM_BOCA_GUARD
Pamela Domenech Studio - Micropigmentacion - Microblading - Cursos - Estetica Facial,Estetica/Facial,General,Lambaré,"Mayor Martinez 328 c, Lambaré 110723, Paraguay",0981 465089,https://wa.me/0981465089,3.68,4.9,54,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",11,ATM_BRUXISMO
PIBA estetica y depilación,Estetica/Facial,General,Asunción,"PC3C+XQP, Av. Mariscal López, Asunción 1814, Paraguay",0994 242249,https://wa.me/0994242249,3.79,4.9,327,YES,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Derma Boutique - Asunción,Otros,General,Asunción,"Augusto Roa Bastos, Asunción 001530, Paraguay",(021) 283 333,https://wa.me/59521283333,4.44,4.3,77,NO,EXPAT_HOTEL,11,EXPAT_HOTEL
Urban Spa Calle 11,Spa/Wellness,Spa,Asunción,"Intendentes Militares 857, Asunción 1409, Paraguay",0976 968585,https://wa.me/0976968585,3.67,4.5,303,YES,ATM_BRUXISMO,11,ATM_BRUXISMO
Spa Masculino A Cáceres - Masajes y Sauna,Spa/Wellness,Spa,Asunción,"Sucre 1783 -25, 2913755 57, Asunción 001408, Paraguay",0983 481000,https://wa.me/0983481000,4.55,4.9,216,YES,ATM_BRUXISMO,11,ATM_BRUXISMO
💈| Los Barberos de López ✅ - Barbería y Peluquería Premium - Barber Top Shop Abierta 24 h -cerca de Asunción @barberosdelopez,Peluqueria,General,Asunción,"25 de Mayo 369 esquina, Asunción 001101, Paraguay",0971 838282,https://wa.me/0971838282,3.95,4.9,2169,YES,ATM_BRUXISMO,11,ATM_BRUXISMO
Joseph Coiffure,Salon de Belleza,General,Asunción,"Av. Dr. Fernando de la Mora 2504, Asunción 001314, Paraguay",0986 243602,https://wa.me/0986243602,2.27,4.6,1274,YES,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Depyless Depilación Médica Láser Centro Oficial de Soprano Titanium,Salon de Belleza,General,Asunción,"Eusebio Lillo Robles 1109 Esquina, Asunción 1813, Paraguay",0981 252511,https://wa.me/0981252511,4.32,5.0,987,YES,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Centro de Depilación Láser Diodo - DepilArte,Salon de Belleza,General,Asunción,"Senador Huey Pierce Long 566, Asunción 001411, Paraguay",0981 560959,https://wa.me/0981560959,4.22,4.9,287,YES,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Brow Bar,Salon de Belleza,General,Asunción,"Cruz Del Chaco esq, Asunción 1849, Paraguay",(021) 728 8000,https://wa.me/0217288000,3.33,4.7,404,YES,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Velours Depilación Láser,Salon de Belleza,General,Lambaré,"Av. Cacique Lambare 1959, Lambaré 2420, Paraguay",0991 855939,https://wa.me/0991855939,3.33,5.0,230,YES,ESTETICA_DENTAL,11,ESTETICA_SONRISA
DepiLife,Salon de Belleza,General,Asunción,"Eusebio Lillo Robles 1281, Asunción 1849, Paraguay",0984 639623,https://wa.me/0984639623,4.4,4.9,221,YES,ESTETICA_DENTAL,11,ESTETICA_SONRISA
Premier Fitness Club Asunción,Gimnasio/Fitness,General,Asunción,"General Bernardo O'Higgins 25, 2923941 57, Asunción 1411, Paraguay",0972 141444,https://wa.me/0972141444,4.34,4.7,119,YES,B2B_GYM_CORP,11,GYM_BOCA_GUARD
"Essenza cirugia, medicina estética y odontologica",Otros,General,Asunción,"Cerro Cora 3948 & Radio Operadores del Chaco, Cerro Corá 3948, Asunción 1594, Paraguay",0986 318186,https://wa.me/0986318186,1.84,4.3,6,NO,"DIRECT_DENTAL,ESTETICA_DENTAL",11,DENTAL_COLLEAGUE
Odontologia Miranda Estética Dentofacial,Estetica/Facial,General,Asunción,"Solar Guarani, Asunción 1380, Paraguay",0985 380756,https://wa.me/0985380756,1.09,5.0,3,NO,"DIRECT_DENTAL,ESTETICA_DENTAL",11,DENTAL_COLLEAGUE
Dental Guarani S.A.,Otros,General,Asunción,"Yegros esq., República de Colombia 1094, Asunción 001102, Paraguay",(021) 494 411,https://wa.me/59521494411,3.86,4.2,85,YES,DIRECT_DENTAL,11,DENTAL_COLLEAGUE
Magnolia Peluquería,Peluqueria,General,Asunción,"Bartolome De Las Casas 206 esq, Asunción 001231, Paraguay",(021) 558 289,https://wa.me/59521558289,1.0,4.7,216,NO,ADJACENT_REFER,10,ADJACENT_GENERAL
Maison Mint,Peluqueria,General,Asunción,"Eusebio Lillo Robles esquina, Asunción 001411, Paraguay",0981 301077,https://wa.me/0981301077,4.1,4.8,112,NO,ATM_BRUXISMO,10,ATM_BRUXISMO
Teranu,Spa/Wellness,General,Asunción,"Guillermo Saraví, Asunción 001414, Paraguay",0971 252626,https://wa.me/0971252626,2.36,4.8,184,NO,ATM_BRUXISMO,10,ATM_BRUXISMO
Mega Cosméticos Asunción,Otros,General,Asunción,"Av. Gral. Bernardino Caballero y, Asunción 001227, Paraguay",0986 477733,https://wa.me/0986477733,1.29,4.6,561,NO,ADJACENT_REFER,10,ADJACENT_GENERAL
Lyon Gym,Gimnasio/Fitness,Gimnasio,Asunción,"Av. Primer Presidente, Asunción 001518, Paraguay",0986 657777,https://wa.me/0986657777,7.56,4.8,148,NO,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Full Form Gym,Gimnasio/Fitness,Gimnasio,Villa Elisa,"Luis A. del Parana, Villa Elisa 111502, Paraguay",0981 423913,https://wa.me/0981423913,5.01,4.5,148,NO,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Medina Fitness,Gimnasio/Fitness,General,Fernando de la Mora,"MFP4+457, Luis A. del Paraná, Fernando de la Mora 110305, Paraguay",0981 162190,https://wa.me/0981162190,6.58,4.7,183,NO,B2B_GYM_CORP,10,GYM_BOCA_GUARD
L´EVEL Femenino / Masculino,Salon de Belleza,General,Asunción,"Paseo de la Infanta - Pacheco entre Monseñor Bogarín y Tte. Zotti -, PC27+RW3, Dr. Toribio Pacheco, Asunción 001413, Paraguay",(021) 329 2436,https://wa.me/0213292436,3.06,4.7,144,NO,ESTETICA_DENTAL,10,ESTETICA_SONRISA
BleuDepilación,Salon de Belleza,General,Asunción,"Cnel. Ramón Diaz 564, Asunción 001416, Paraguay",0971 161733,https://wa.me/0971161733,3.53,4.9,141,NO,ESTETICA_DENTAL,10,ESTETICA_SONRISA
Fran Gym,Gimnasio/Fitness,Gimnasio,Fernando de la Mora,"Capitan Romero c, Fernando de la Mora 110305, Paraguay",0982 116619,https://wa.me/0982116619,6.68,4.9,138,NO,B2B_GYM_CORP,10,GYM_BOCA_GUARD
XXG Gym,Gimnasio/Fitness,Gimnasio,Fernando de la Mora,"MFR8+RFF, Fernando de la Mora 110303, Paraguay",(021) 678 171,https://wa.me/59521678171,7.69,4.7,119,NO,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Ritmo Gym,Gimnasio/Fitness,Gimnasio,San Lorenzo,"MF9R+F2R, Ave Gral Eugenio A. Garay, San Lorenzo 111419, Paraguay",(021) 574 908,https://wa.me/59521574908,10.23,4.5,274,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Bingo Guarani,Otros,General,Asunción,"M9XM+2JX, Av. Eusebio Ayala, Asunción 001236, Paraguay",(021) 204 419,https://wa.me/59521204419,1.42,4.1,415,NO,ADJACENT_REFER,10,ADJACENT_GENERAL
Club Guaraní,Otros,General,Asunción,"Año 1811, Asunción 001236, Paraguay",(021) 227 080,https://wa.me/59521227080,1.35,4.2,685,NO,ADJACENT_REFER,10,ADJACENT_GENERAL
Mundo Fitness Gym,Gimnasio/Fitness,Gimnasio,Villa Elisa,"Von Polesky esquina, JC79+82C, Villa Montes, Villa Elisa 111516, Paraguay",0972 416801,https://wa.me/0972416801,8.54,4.5,124,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Mburucuya Fitness Center,Gimnasio/Fitness,Gimnasio,Asunción,"Dr. Hipólito Carrón esquina, Asunción 001520, Paraguay",0992 446377,https://wa.me/0992446377,6.3,4.7,112,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Shirley Nails,Uñas/Nails,Salon Uñas,Asunción,"Av. Dr. Fernando de la Mora 3260, Asunción 001315, Paraguay",0991 758633,https://wa.me/0991758633,3.16,4.6,137,NO,ATM_BRUXISMO,10,ATM_BRUXISMO
ORBUS GYM,Gimnasio/Fitness,Gimnasio,Villa Elisa,"Américo Picco, Villa Elisa 111509, Paraguay",0984 349693,https://wa.me/0984349693,6.23,4.5,114,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
FITO GYM,Gimnasio/Fitness,Gimnasio,Fernando de la Mora,"Magallanes, z sur, Av. Zavalas Cué y, Fernando de la Mora 110331, Paraguay",0971 250025,https://wa.me/0971250025,5.34,4.7,110,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
GO FIT GYM,Gimnasio/Fitness,Gimnasio,Fernando de la Mora,"Jacaranda y, Fernando de la Mora 110304, Paraguay",0982 980262,https://wa.me/0982980262,6.83,4.9,142,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
BL DermoEstética,Salon de Belleza,General,Asunción,"Dra. Serafina Dávalos, Asunción 1876, Paraguay",0975 900550,https://wa.me/0975900550,3.02,4.7,147,YES,ESTETICA_DENTAL,10,ESTETICA_SONRISA
Cuerpo Armónico by Clara Gaona,Spa/Wellness,General,Asunción,"Av. Dr. José Gaspar Rodriguez de Francia, Asunción 001103, Paraguay",0981 823279,https://wa.me/0981823279,3.57,4.4,146,YES,ATM_BRUXISMO,10,ATM_BRUXISMO
Depiclub py,Salon de Belleza,General,Asunción,"Peru esquina, Asunción 001220, Paraguay",0982 108953,https://wa.me/0982108953,2.7,4.7,129,YES,ESTETICA_DENTAL,10,ESTETICA_SONRISA
Lau Depilaciones,Depilacion,General,Lambaré,"M9MP+4J6, Lambaré 110701, Paraguay",0971 972536,https://wa.me/0971972536,0.5,4.9,56,NO,ESTETICA_DENTAL,10,ESTETICA_SONRISA
Vita Cosméticos,Otros,General,Asunción,"Av. Eusebio Ayala 454, Asunción 001227, Paraguay",0974 800611,https://wa.me/0974800611,1.29,4.2,798,YES,ADJACENT_REFER,10,ADJACENT_GENERAL
Lidia Imlach Micropigmentacion Studio,Salon de Belleza,General,Asunción,"Atyra 981, Asunción 001231, Paraguay",0983 346534,https://wa.me/0983346534,0.85,5.0,64,YES,ESTETICA_DENTAL,10,ESTETICA_SONRISA
Bellas Beauty Salon,Salon de Belleza,General,Asunción,"Nazareth sobre, Dr. Osvaldo Chavez, Asunción 1905, Paraguay",0984 177008,https://wa.me/0984177008,1.72,4.8,59,YES,ESTETICA_DENTAL,10,ESTETICA_SONRISA
Dra. Diana Grossling,Salon de Belleza,General,Asunción,"Eusebio Lillo Robles 1750, Asunción 1750, Paraguay",0982 160036,https://wa.me/0982160036,4.62,4.8,34,NO,"ATM_BRUXISMO,ESTETICA_DENTAL",10,ATM_BRUXISMO
Casa De Cosmeticos,Estetica/Facial,Perfumeria,Asunción,"Asunción 001102, Paraguay",0984 453331,https://wa.me/0984453331,4.0,4.7,181,YES,ESTETICA_DENTAL,10,ESTETICA_SONRISA
Wanda Boutique,Otros,General,Asunción,"M9FC+9X9, Av. José Felix Bogado, Asunción 001302, Paraguay",0306 198,https://wa.me/0306198,2.25,4.5,46,NO,EXPAT_HOTEL,10,EXPAT_HOTEL
The Baby Nails By Claudia,Uñas/Nails,Salon Uñas,Asunción,"Eligio Ayala 2184 esquina, Asunción 001225, Paraguay",0981 826938,https://wa.me/0981826938,2.31,4.9,78,YES,MOMS,10,MOMS_HIDROBABY
Urban Spa Calle 11 - Mburucuya,Spa/Wellness,Spa,Asunción,"Padre José Félix González, Asunción 001531, Paraguay",0974 968585,https://wa.me/0974968585,6.23,4.5,439,YES,ATM_BRUXISMO,10,ATM_BRUXISMO
Podologia y spa de pies Mandala,Spa/Wellness,Spa,Lambaré,"5 De Junio, Lambaré 110724, Paraguay",0993 383243,https://wa.me/0993383243,3.75,4.8,37,YES,"ATM_BRUXISMO,ESTETICA_DENTAL",10,ATM_BRUXISMO
BUCCI - Osvaldo Bucci,Peluqueria,General,Asunción,"Del Sol Shopping and Lifestyle, Asunción 001529, Paraguay",0981 120578,https://wa.me/0981120578,5.5,4.5,338,YES,ATM_BRUXISMO,10,ATM_BRUXISMO
Velours Clínica Medicina Estética,Salon de Belleza,General,Asunción,"Papa Juan XXIII y, Asunción 001529, Paraguay",0991 855939,https://wa.me/0991855939,5.49,5.0,1278,YES,ESTETICA_DENTAL,10,ESTETICA_SONRISA
GTC - FDO,Gimnasio/Fitness,General,Fernando de la Mora,"Villa Montes, Fernando de la Mora 110312, Paraguay",0994 208741,https://wa.me/0994208741,7.69,4.7,111,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
BIGG Herrera,Gimnasio/Fitness,General,Asunción,"Del Maestro 3143, Asunción 001406, Paraguay",0981 643222,https://wa.me/0981643222,5.42,4.7,160,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Zona Fit del Paseo,Gimnasio/Fitness,General,Asunción,"Avda. Santa Teresa entre, Av. Aviadores del Chaco y, Asunción 001410, Paraguay",0986 108875,https://wa.me/0986108875,5.69,4.6,144,YES,B2B_GYM_CORP,10,GYM_BOCA_GUARD
Maru Faciales & Corporales,Estetica/Facial,General,Lambaré,"Lambaré 110728, Paraguay",0992 400028,https://wa.me/0992400028,5.0,4.8,37,YES,"ATM_BRUXISMO,ESTETICA_DENTAL",10,ATM_BRUXISMO
